"","date","state","new_cases_norm","new_deaths_norm"
"140",2020-02-18,"Illinois",0,0
"141",2020-02-18,"Massachusetts",0,0
"142",2020-02-18,"Nebraska",0,0
"143",2020-02-18,"Texas",0,0
"144",2020-02-18,"Washington",0,0
"145",2020-02-18,"Wisconsin",0,0
"146",2020-02-19,"Arizona",0,0
"147",2020-02-19,"California",0,0
"148",2020-02-19,"Illinois",0,0
"149",2020-02-19,"Massachusetts",0,0
"150",2020-02-19,"Nebraska",0,0
"151",2020-02-19,"Texas",0,0
"152",2020-02-19,"Washington",0,0
"153",2020-02-19,"Wisconsin",0,0
"154",2020-02-20,"Arizona",0,0
"155",2020-02-20,"California",0.00252799469727832,0
"156",2020-02-20,"Illinois",0,0
"157",2020-02-20,"Massachusetts",0,0
"158",2020-02-20,"Nebraska",0.051833130493016,0
"159",2020-02-20,"Texas",0,0
"160",2020-02-20,"Washington",0,0
"161",2020-02-20,"Wisconsin",0,0
"162",2020-02-21,"Arizona",0,0
"163",2020-02-21,"California",0.00252799469727832,0
"164",2020-02-21,"Illinois",0,0
"165",2020-02-21,"Massachusetts",0,0
"166",2020-02-21,"Nebraska",0,0
"167",2020-02-21,"Texas",0.00696819315970803,0
"168",2020-02-21,"Washington",0,0
"169",2020-02-21,"Wisconsin",0,0
"170",2020-02-22,"Arizona",0,0
"171",2020-02-22,"California",0,0
"172",2020-02-22,"Illinois",0,0
"173",2020-02-22,"Massachusetts",0,0
"174",2020-02-22,"Nebraska",0,0
"175",2020-02-22,"Texas",0,0
"176",2020-02-22,"Washington",0,0
"177",2020-02-22,"Wisconsin",0,0
"178",2020-02-23,"Arizona",0,0
"179",2020-02-23,"California",0,0
"180",2020-02-23,"Illinois",0,0
"181",2020-02-23,"Massachusetts",0,0
"182",2020-02-23,"Nebraska",0,0
"183",2020-02-23,"Texas",0,0
"184",2020-02-23,"Washington",0,0
"185",2020-02-23,"Wisconsin",0,0
"186",2020-02-24,"Arizona",0,0
"187",2020-02-24,"California",0.00505598939455665,0
"188",2020-02-24,"Illinois",0,0
"189",2020-02-24,"Massachusetts",0,0
"190",2020-02-24,"Nebraska",0.051833130493016,0
"191",2020-02-24,"Texas",0.0209045794791241,0
"192",2020-02-24,"Washington",0.0530814371427536,0
"193",2020-02-24,"Wisconsin",0,0
"194",2020-02-25,"Arizona",0,0
"195",2020-02-25,"California",0,0
"196",2020-02-25,"Illinois",0,0
"197",2020-02-25,"Massachusetts",0,0
"198",2020-02-25,"Nebraska",0.051833130493016,0
"199",2020-02-25,"Texas",0,0
"200",2020-02-25,"Utah",0,0
"201",2020-02-25,"Washington",0,0
"202",2020-02-25,"Wisconsin",0,0
"203",2020-02-26,"Arizona",0,0
"204",2020-02-26,"California",0.0379199204591748,0
"205",2020-02-26,"Illinois",0,0
"206",2020-02-26,"Massachusetts",0,0
"207",2020-02-26,"Nebraska",0,0
"208",2020-02-26,"Texas",0,0
"209",2020-02-26,"Utah",0,0
"210",2020-02-26,"Washington",0,0
"211",2020-02-26,"Wisconsin",0,0
"212",2020-02-27,"Arizona",0,0
"213",2020-02-27,"California",0,0
"214",2020-02-27,"Illinois",0,0
"215",2020-02-27,"Massachusetts",0,0
"216",2020-02-27,"Nebraska",0,0
"217",2020-02-27,"Texas",0,0
"218",2020-02-27,"Utah",0,0
"219",2020-02-27,"Washington",0,0
"220",2020-02-27,"Wisconsin",0,0
"221",2020-02-28,"Arizona",0,0
"222",2020-02-28,"California",0.00252799469727832,0
"223",2020-02-28,"Illinois",0,0
"224",2020-02-28,"Massachusetts",0,0
"225",2020-02-28,"Nebraska",0,0
"226",2020-02-28,"Oregon",0,0
"227",2020-02-28,"Texas",0.00348409657985401,0
"228",2020-02-28,"Utah",0,0
"229",2020-02-28,"Washington",0.0265407185713768,0
"230",2020-02-28,"Wisconsin",0,0
"231",2020-02-29,"Arizona",0,0
"232",2020-02-29,"California",0.00252799469727832,0
"233",2020-02-29,"Illinois",0.00784862821676027,0
"234",2020-02-29,"Massachusetts",0,0
"235",2020-02-29,"Nebraska",0,0
"236",2020-02-29,"Oregon",0,0
"237",2020-02-29,"Texas",0,0
"238",2020-02-29,"Utah",0,0
"239",2020-02-29,"Washington",0.0398110778570652,0.0132703592856884
"240",2020-02-29,"Wisconsin",0,0
"241",2020-03-01,"Arizona",0,0
"242",2020-03-01,"California",0.0126399734863916,0
"243",2020-03-01,"Florida",0,0
"244",2020-03-01,"Illinois",0,0
"245",2020-03-01,"Massachusetts",0,0
"246",2020-03-01,"Nebraska",0,0
"247",2020-03-01,"New York",0,0
"248",2020-03-01,"Oregon",0.0238622878732092,0
"249",2020-03-01,"Rhode Island",0,0
"250",2020-03-01,"Texas",0,0
"251",2020-03-01,"Utah",0,0
